rank,material_id,formula,elements,density,band_gap,energy_above_hull,formation_energy_per_atom,is_stable,hull_score,formation_score,stable_score,overall_score
883,mp-768945,Li2CrFeO4,"Cr,Fe,Li,O",4.130703425846744,1.6617000000000002,0.0068512304166663,-2.170326068333334,False,0.8629735433905874,0.4215996184025799,0,0.622195315305726
884,mp-755112,Li5Mn3(PO4)4,"Li,Mn,O,P",3.1768553342328136,0.0,0.0123935535714299,-2.614610766036829,False,0.7521255851268962,0.5953355013551711,0,0.6220364972941028
885,mp-20046,LiCoAsO4,"As,Co,Li,O",4.27352962516198,2.2041000000000004,0.0025418726190515,-1.822704007976191,False,0.9491618618907006,0.2856633012119911,0,0.6220211794640822
886,mp-768405,Li24Ti7Cr5O36,"Cr,Li,O,Ti",3.4322074633527766,1.2939000000000005,0.0130864232986001,-2.6665177483796305,False,0.7382680036660378,0.6156335342501722,0,0.6215191390038811
887,mp-1176972,Li7V3P8O29,"Li,O,P,V",2.596821307991492,0.7926,0.0133999887544362,-2.6907855754356635,False,0.7319966099578632,0.6251233779983683,0,0.6213913177762537
888,mp-756067,Li2V3SbO8,"Li,O,Sb,V",4.525311503927026,1.5627000000000004,0.0098126150000004,-2.400423220119048,False,0.8037450528226897,0.5115782560576776,0,0.6211121686726666
889,mp-770622,Li24Mn11CrO36,"Cr,Li,Mn,O",3.730670757988059,1.3271000000000002,0.0071165768750018,-2.1835368931561305,False,0.8576665426406019,0.42676566244367437,0,0.6210845803076172
890,mp-769605,Li4VCr3O8,"Cr,Li,O,V",4.054989116626412,1.5099999999999998,0.0100668346874996,-2.4198448158333337,False,0.7986605904911311,0.5191729990168906,0,0.6209738744260338
891,mp-775013,Li4Mn3Fe3(SbO8)2,"Fe,Li,Mn,O,Sb",4.6624688923298105,0.5973000000000002,0.0050470939285709,-2.0156458334688017,False,0.899056759859572,0.36111248634871296,0,0.6208705881448142
892,mp-585400,LiFePO4,"Fe,Li,O,P",2.976981483545848,2.4496,0.0106949311904749,-2.4692010835204083,False,0.7860984909882295,0.5384735844077048,0,0.6208199245862229
893,mp-770533,Li6MnO4,"Li,Mn,O",2.681139291339976,2.6186,0.0055111222727282,-2.0508089466300947,False,0.8897760677941683,0.37486289131205514,0,0.6205788492460119
894,mp-769595,Li4VCr3O8,"Cr,Li,O,V",4.058067744795059,1.6083000000000005,0.0101045759375004,-2.419807074583333,False,0.7979057553095499,0.5191582404410798,0,0.6205535495746304
895,mp-26093,LiNiPO4,"Li,Ni,O,P",3.8526804628700697,3.409,0.0093079632142849,-2.355740183996599,False,0.8138382246783599,0.49410512053474975,0,0.6205478157602604
896,mp-758654,Li3Fe2(PO4)3,"Fe,Li,O,P",2.9645097748540765,0.8344,0.0111521209999994,-2.5010899281964285,False,0.7769545714603328,0.5509435988258556,0,0.6201552738922325
897,mp-771282,Li24Ti7Cr5O36,"Cr,Li,O,Ti",3.435521721933809,1.2134,0.0132219062152678,-2.6663822654629623,False,0.7355583087830687,0.6155805541581861,0,0.620010263786053
898,mp-1177028,Li7Mn4(P2O7)4,"Li,Mn,O,P",2.95531227786728,0.1341000000000001,0.0128355371808641,-2.6336192560042617,False,0.7432857937030257,0.6027687008445025,0,0.6197762318322401
899,mp-1177891,Li2MnV3O8,"Li,Mn,O,V",3.811248832383393,1.5143,0.0103778540178556,-2.4360293758641203,False,0.7924401199794341,0.5255019111799301,0,0.6197677349016644
900,mp-760356,Li2MnV(P2O7)2,"Li,Mn,O,P,V",2.880073039834398,0.3428,0.0130912010605905,-2.6512629454470824,False,0.7381724471373193,0.6096682001514435,0,0.6193787159785309
901,mp-26061,LiMn2(PO4)3,"Li,Mn,O,P",3.0824207593999766,1.2013,0.0096532715277755,-2.372617994617999,False,0.8069319652537333,0.5007051257696195,0,0.6190593749089202
